image_id,healthy,multiple_diseases,rust,scab
Test_0,5.0332906e-06,0.00010311851,0.9998919,3.634593e-08
Test_1,1.7114908e-05,5.2701842e-05,0.9999299,1.9020128e-07
Test_2,3.5655646e-06,3.705704e-05,3.978602e-09,0.99995935
Test_3,0.99992585,7.196077e-07,7.282889e-05,5.45174e-07
Test_4,7.187438e-09,2.4202254e-07,0.99999976,4.483578e-11
Test_5,0.9955107,0.0010517581,0.0017833387,0.0016542359
Test_6,0.99993515,7.428448e-07,6.39252e-05,2.8800213e-07
Test_7,0.0015208519,0.010392413,7.470468e-05,0.98801196
Test_8,0.069049604,0.13758533,0.008941722,0.7844234
Test_9,1.7785731e-05,7.486802e-05,0.99990726,1.2421913e-07
Test_10,0.00013334843,0.0002950631,0.99956936,2.312644e-06
Test_11,0.99801314,2.206426e-05,0.001959361,5.467338e-06
Test_12,0.040814504,0.12335393,0.0001516409,0.83567995
Test_13,0.9715674,0.00051421154,0.027859155,5.9171532e-05
Test_14,9.65667e-06,3.8599836e-05,0.9999517,4.489822e-08
Test_15,0.0024615286,0.00033751447,0.9971878,1.3177528e-05
Test_16,0.99449325,0.0018298664,0.0032766112,0.0004003063
Test_17,1.9461626e-07,5.3063275e-05,1.7587874e-08,0.9999467
Test_18,0.09427814,0.019480772,0.014502458,0.8717386
Test_19,9.954442e-07,0.00038544892,0.9996131,4.4865405e-07
Test_20,1.2060996e-05,0.00010412962,2.6819176e-08,0.9998838
Test_21,0.9960168,0.00022283147,0.003195864,0.0005644283
Test_22,1.7413495e-08,7.743765e-06,0.99999225,8.8756155e-11
Test_23,2.1884342e-05,2.5712314e-05,2.5502983e-08,0.9999523
Test_24,0.99997425,5.3919844e-06,1.9308076e-05,1.0298813e-06
Test_25,2.85446e-05,0.00015246708,2.6060542e-07,0.99981874
Test_26,0.3940383,0.04010982,0.0033641816,0.56248766
Test_27,4.7602418e-07,2.5154137e-07,0.9999993,1.1043795e-09
Test_28,0.9999324,6.4335986e-06,5.834445e-05,2.881872e-06
Test_29,0.20176429,0.68909496,0.104147024,0.0049937987
Test_30,0.99999726,4.443821e-07,1.9057169e-06,3.6638895e-07
Test_31,0.00080327014,0.5114242,0.4876966,7.5836004e-05
Test_32,0.46612793,0.03843235,0.013296409,0.48214325
Test_33,0.00079626555,0.00038143952,1.3927356e-06,0.99882084
Test_34,0.003228473,0.0012543292,0.00024344043,0.99527377
Test_35,0.0024681317,0.0002616458,2.5482275e-06,0.9972677
Test_36,4.765361e-07,6.7934176e-05,0.9999316,5.4769384e-08
Test_37,0.0004946943,0.0029194662,1.0407358e-06,0.9965848
Test_38,1.3920411e-06,0.0004088355,2.5622871e-08,0.99958974
Test_39,0.00014423729,0.0002107336,0.9996239,2.1103982e-05
Test_40,1.5310293e-07,2.7514224e-07,0.9999995,5.884635e-10
Test_41,8.104979e-05,1.3968033e-05,0.999905,3.938531e-08
Test_42,2.3227769e-05,0.0012603091,1.4650813e-07,0.99871635
Test_43,4.787824e-05,6.090769e-06,0.999946,3.0710453e-08
Test_44,0.018058056,0.972355,0.00048456894,0.009102385
Test_45,0.033294853,0.37816527,0.00040752106,0.58813244
Test_46,0.0040403125,0.09149233,2.2007025e-05,0.9044453
Test_47,3.6992827e-09,7.3819535e-08,0.9999999,4.854231e-12
Test_48,2.9433625e-08,7.4187443e-07,0.9999993,2.350382e-10
Test_49,9.197294e-05,0.00014923059,0.9997576,1.2441612e-06
Test_50,1.8828294e-05,0.0002793214,0.9996996,2.2476493e-06
Test_51,3.6206538e-06,0.00010856556,0.9998878,3.2226936e-08
Test_52,8.512301e-05,0.0053667775,0.99453706,1.1010236e-05
Test_53,6.4554264e-08,2.0687617e-06,0.99999785,7.1127687e-10
Test_54,0.5122283,0.03121152,0.45156062,0.0049995687
Test_55,2.06833e-06,0.0002083916,3.817559e-07,0.9997892
Test_56,0.00015597849,0.011381856,1.8251112e-06,0.9884603
Test_57,0.6200279,0.024112685,0.3438656,0.011993882
Test_58,5.1226802e-08,0.00014711087,2.7158948e-09,0.9998528
Test_59,0.01656663,0.7538924,0.22094718,0.00859377
Test_60,5.016001e-06,0.0009942264,1.4851832e-07,0.9990006
Test_61,0.99653625,8.743021e-05,0.0033558782,2.0396517e-05
Test_62,0.015566162,0.3187871,0.0037781373,0.6618686
Test_63,0.0005623227,0.012260717,2.2727572e-05,0.98715425
Test_64,0.85555875,0.014110003,0.012731604,0.11759966
Test_65,0.00084200746,0.0014227582,0.99771214,2.3049957e-05
Test_66,0.9999957,1.1928924e-07,4.1471953e-06,4.1925143e-09
Test_67,0.001097105,0.0002588955,0.9985512,9.2898896e-05
Test_68,0.00028039984,0.082891874,9.7470824e-05,0.9167302
Test_69,2.5225554e-05,9.854949e-05,0.9998752,1.0927738e-06
Test_70,0.008773469,0.006370362,0.00065170944,0.9842045
Test_71,0.0137947025,6.268319e-05,0.98613757,5.0567983e-06
Test_72,5.861164e-05,0.013291484,1.40671955e-05,0.98663586
Test_73,0.9990219,6.2221898e-06,0.00097045396,1.4268394e-06
Test_74,0.9852636,0.0076095886,0.0006586033,0.006468202
Test_75,0.7744546,0.013485523,0.059342213,0.15271771
Test_76,0.9954918,0.00021842466,0.0030382404,0.0012515238
Test_77,9.476513e-05,1.7586064e-05,0.9998871,4.988483e-07
Test_78,9.13668e-08,1.7194769e-05,9.121591e-10,0.9999827
Test_79,0.11085959,0.20195454,0.009516816,0.67766905
Test_80,0.005624994,0.819226,0.14763327,0.02751574
Test_81,0.00014438169,0.030308949,0.9694531,9.3641815e-05
Test_82,0.001145518,0.43319845,0.040430073,0.525226
Test_83,0.00019897154,0.008316799,0.9914665,1.7762744e-05
Test_84,1.926989e-05,0.0004652102,7.0304316e-07,0.9995148
Test_85,0.00089337013,0.00899469,2.9203498e-05,0.9900828
